indice_1,indice_2,codigo_1,codigo_2,establecimiento_1,establecimiento_2,direccion_1,direccion_2,telefono_1,telefono_2,similitud_nombre,similitud_direccion,telefono_igual,campos_diferentes,decision,justificacion
2247,2262,00-02-0123-46,00-02-0315-46,"COLEGIO EVANGÉLICO MIXTO ""LA PATRIA""","COLEGIO EVANGÉLICO MIXTO ""LA PATRIA""",7A. AVENIDA 7-38,7A AVE. 7-38,22541191,22541191,100.0,84.62,True,DIRECCION,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2299,2305,00-02-9140-46,00-02-9810-46,LICEO TECNICO CONSTRUCTIVISTA (POR MADUREZ),LICEO TECNICO CONSTRUCTIVISTA,AVENIDA SIMEON CAÑAS 2-12,AVENIDA SIMEON CAÑAS 2-12,22208545,22208545,100.0,100.0,True,"ESTABLECIMIENTO, DIRECTOR",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2301,2302,00-02-9721-46,00-02-9729-46,COLEGIO DE COMPUTACION BLAISE PASCAL,COLEGIO DE COMPUTACION BLAISE PASCAL,AVENIDA SIMEON CAÑAS 7-73 03,AVENIDA SIMEON CAÑAS 7-73,22540986,22540986,100.0,100.0,True,DIRECCION,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2310,2311,00-03-0021-46,00-03-0022-46,COLEGIO MIXTO JESUS DEL CONSUELO,COLEGIO MIXTO JESUS DEL CONSUELO,4A. AVENIDA 25-11,4A. AVENIDA 25-11,24717132,24717132,100.0,100.0,True,DIRECTOR,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2313,2361,00-03-0034-46,00-03-8579-46,COLEGIO TÉCNICO MODERNO,COLEGIO TECNICO MODERNO,AVENIDA BOLIVAR 30-00,AV. BOLIVAR 30-00,42078127,42078127,100.0,89.66,True,"ESTABLECIMIENTO, DIRECCION",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2313,2362,00-03-0034-46,00-03-8581-46,COLEGIO TÉCNICO MODERNO,COLEGIO TECNICO MODERNO,AVENIDA BOLIVAR 30-00,AV. BOLIVAR 30-00,42078127,,100.0,89.66,False,"DISTRITO, ESTABLECIMIENTO, DIRECCION, TELEFONO, SUPERVISOR, DIRECTOR",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2316,2334,00-03-0037-46,00-03-2911-46,"COLEGIO EVANGÉLICO MIXTO ""FRANCISCO G. PENZOTTI""",COLEGIO EVANGELICO MIXTO 'FRANCISCO G. PENZOTTI',4A. AVENIDA 31-49,4A. AVE. 31-49,24401864,24401864,95.74,85.71,True,"ESTABLECIMIENTO, DIRECCION",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2328,2345,00-03-0370-46,00-03-7569-46,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA GUATEMALTECO,INSTITUTO MIXTO GUATEMALTECO,AVENIDA BOLIVAR 30-00,AV. ELENA 23-20,22515412,22515412,100.0,51.43,True,"ESTABLECIMIENTO, DIRECCION, SUPERVISOR",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2361,2362,00-03-8579-46,00-03-8581-46,COLEGIO TECNICO MODERNO,COLEGIO TECNICO MODERNO,AV. BOLIVAR 30-00,AV. BOLIVAR 30-00,42078127,,100.0,100.0,False,"DISTRITO, TELEFONO, SUPERVISOR, DIRECTOR",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2382,2385,00-05-0040-46,00-05-0457-46,ESCUELA PROFESIONAL SAN VICENTE DE PAUL,ESCUELA PROFESIONAL SAN VICENTE DE PAUL,17 AVENIDA 31-00,17 AVE 31-00,23391272,22391272,100.0,85.71,False,"DIRECCION, TELEFONO",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2420,2424,00-06-0012-46,00-06-0021-46,COLEGIO PANAMERICANO NO. 7,COLEGIO PANAMERICANO NO. 7,"CALZADA JOSÉ MILLA Y VIDAURRE 17-30, PLAZA JOSÉ MILLA LOCAL 2","CALZADA JOSE MILLA Y VIDAURRE, 17-30, PLAZA JOSE MILLA, LOCAL 2",22549965,55500469,100.0,100.0,False,"DIRECCION, TELEFONO",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2421,2442,00-06-0013-46,00-06-0058-46,COLEGIO PANAMERICANO NO. 7,COLEGIO PANAMERICANO NO. 7,"CALZADA JOSÉ MILLA Y VIDAURRE, 17-30, PLAZA JOSÉ MILLA, LOCAL 2","CALZADA JOS MILLA Y VIDAURRE 17-30, PLAZA JOSE MILLA, LOCAL 2",22549967,22549967,100.0,100.0,True,DIRECCION,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2429,2430,00-06-0032-46,00-06-0033-46,"INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA ""CARLOS BENJAMIN PAIZ AYALA""","INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA ""CARLOS BENJAMIN PAIZ AYALA ""","FINAL, CALZADA JOSE MILLA Y VIDAURRE Y 26 AVENIDA","FINAL, CALZADA JOSE MILLA Y VIDAURRE Y 26 AVENIDA",22102943,22702943,97.99,100.0,False,"ESTABLECIMIENTO, TELEFONO",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2432,2463,00-06-0042-46,00-06-0099-46,LICEO TECNOLÓGICO GUATEMALTECO,LICEO TECNOLÓGICO GUATEMALTECO,"15 AVENIDA ""B"" 10-23","15 AVENIDA ""B"" 10-23",22885205,22703356,100.0,100.0,False,TELEFONO,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2436,2437,00-06-0050-46,00-06-0051-46,"COLEGIO PRIVADO ""TERESA DE AVILA""","COLEGIO PRIVADO ""TERESA DE AVILA""",15 AVENIDA 5-45,15 AVENIDA 5-45,22880382,22703364,100.0,100.0,False,TELEFONO,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2451,2452,00-06-0077-46,00-06-0078-46,"INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA ""DOCTORA SARA CABARRUS DE RUÍZ""","INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA ""DOCTORA SARA CABARRUS DE RUÍZ""",FINAL CALZADA JOSE MILLA Y VIDAURRE Y 26 AVENIDA,FINAL CALZADA JOSÉ MILLA Y VÍDAURRE Y 26 AVENIDA,22702943,22702943,100.0,100.0,True,"ESTABLECIMIENTO, DIRECCION",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2451,2454,00-06-0077-46,00-06-0081-46,"INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA ""DOCTORA SARA CABARRUS DE RUÍZ""","INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA ""DOCTORA SARA CABARRUS DE RUÍZ""",FINAL CALZADA JOSE MILLA Y VIDAURRE Y 26 AVENIDA,FINAL CALZADA JOSÉ MILLA Y VIDAUDRRE Y 26 AVENIDA,22702943,54015710,100.0,98.92,False,"ESTABLECIMIENTO, DIRECCION, TELEFONO",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2452,2454,00-06-0078-46,00-06-0081-46,"INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA ""DOCTORA SARA CABARRUS DE RUÍZ""","INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA ""DOCTORA SARA CABARRUS DE RUÍZ""",FINAL CALZADA JOSÉ MILLA Y VÍDAURRE Y 26 AVENIDA,FINAL CALZADA JOSÉ MILLA Y VIDAUDRRE Y 26 AVENIDA,22702943,54015710,100.0,98.92,False,"DIRECCION, TELEFONO",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2462,2482,00-06-0098-46,00-06-7241-46,CENTRO ESTUDIANTIL FENIX CEF,"CENTRO ESTUDIANTIL FENIX ""CEF""","1A. CALLE ""A"" 22-52",1A. CALLE A 22-52 COLONIA LOS ANGELES,22545281,22545281,96.55,87.5,True,"ESTABLECIMIENTO, DIRECCION",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2464,2504,00-06-0100-46,00-06-9626-46,LICEO FRONESIS,LICEO FRONESIS,"2DA. CALLE ""A"" 19-27",2A. CALLE 'A' 19-27,55237788,22884796,100.0,86.49,False,"DIRECCION, TELEFONO",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2506,2507,00-06-9629-46,00-06-9630-46,LICEO FRONESIS,LICEO FRONESIS,2A. CALLE 'A' 19-27,2A. CALLE A 19-27 ZONA 6,22884796,22884796,100.0,87.5,True,DIRECCION,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2525,2704,00-07-0029-46,00-07-8595-46,CENTRO EDUCATIVO LOS SAUCES,CENTRO EDUCATIVO LOS SAUCES,"31 AVENIDA 14-26, COLONIA CIUDAD DE PLATA II",31 AVE. 14-26 COLONIA CIUDAD DE PLATA II,24738983,24738983,100.0,95.12,True,"DISTRITO, DIRECCION, SUPERVISOR",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2526,2625,00-07-0030-46,00-07-0653-46,COLEGIO MIXTO CENTROAMERICANO EL MAESTRO AMIGO,COLEGIO MIXTO CENTROAMERICANO EL MAESTRO AMIGO,"CALZADA ROOSEVELT, 2-34",CALZADA ROOSEVELT 2-34 COLONIA LANDIVAR,24751249,24751249,100.0,100.0,True,DIRECCION,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2539,2569,00-07-0064-46,00-07-0144-46,COLEGIO EN COMPUTACION SAN JUAN,COLEGIO EN COMPUTACIÓN SAN JUAN,"CALZADA SAN JUAN 39-45, COLONIA EL RODEO",CALZADA SAN JUAN 39-45 ZONA 7 EL RODEO,24313047,24314037,100.0,90.91,False,"ESTABLECIMIENTO, DIRECCION, TELEFONO",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2566,2693,00-07-0133-46,00-07-8440-46,COLEGIO PANAMERICANO NO. 4,COLEGIO PANAMERICANO NO. 4,37 AVENIDA 3-88 ZONA 7 GUATEMALA,37 AVENIDA 3-88 ZONA 7 GUATEMALA,24374265,24374265,100.0,100.0,True,NINGUNO,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2575,2581,00-07-0172-46,00-07-0188-46,LICEO CRISTIANO VERDAD L.C.V.,LICEO CRISTIANO VERDAD L.C.V.,13 AVENIDA 04-03 COLONIA QUINTA SAMAYOA ZONA 7,"13 AVENIDA 04-03 COLONIA QUINTA SAMAYOA, ZONA 7",24404750,53149361,100.0,100.0,False,"DISTRITO, DIRECCION, TELEFONO, SUPERVISOR",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2588,2589,00-07-0207-46,00-07-0210-46,LICEO MIXTO EN COMPUTACIÓN ROTTERDAM,LICEO MIXTO EN COMPUTACIÓN ROTTERDAM,"31 AVENIDA14-12 ZONA 7, CIUDAD DE PLATA II","31 AVENIDA14-12 ZONA 7, CIUDAD DE PLATA II",24738493,24738493,100.0,100.0,True,NINGUNO,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2620,2621,00-07-0281-46,00-07-0282-46,LICEO DE CIENCIA Y TECNOLOGÍA,LICEO DE CIENCIA Y TECNOLOGÍA,CALZADA SAN JUAN 37-78 ZONA 7 COLONIA EL RODEO,CALZADA SAN JUAN 37-78 ZONA 7 COLONIA EL RODEO,24321644,24321644,100.0,100.0,True,NINGUNO,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2669,2692,00-07-7212-46,00-07-8388-46,COLEGIO DE INFORMATICA IMB-PC #1,COLEGIO DE INFORMATICA IMB-PC NO. 1,CALZADA SAN JUAN Y 32 AVENIDA 31-97 Y 4-04 ZONA 7,"CALZADA SAN JUAN Y 32 AVENIDA 31-97, 31-99 Y 4-04 ZONA 7 GUATEMALA",23025400,23025400,95.08,100.0,True,"DISTRITO, ESTABLECIMIENTO, DIRECCION, SUPERVISOR",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2679,2705,00-07-7765-46,00-07-8648-46,LICEO DE CIENCIAS TECNICAS COMERCIALES Y DE COMPUTACION,LICEO DE CIENCIAS TECNICAS COMERCIALES Y DE COMPUTACION (POR MADUREZ),"CALZADA SAN JUAN 37-78, COLONIA EL RODEO","CALZADA SAN JUAN 37-78, COLONIA EL RODEO",24321644,43216444,100.0,100.0,False,"ESTABLECIMIENTO, TELEFONO, DIRECTOR",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2696,2697,00-07-8492-46,00-07-8493-46,COLEGIO INTERAMERICANO DE INFORMATICA,COLEGIO INTERAMERICANO DE INFORMATICA,3A. CALLE 2-28 COLONIA LANDIVAR,3A. CALLE 2-28 COLONIA LANDIVAR,24723115,24716293,100.0,100.0,False,TELEFONO,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2721,2722,00-07-9110-46,00-07-9111-46,COLEGIO MESOAMERICANO (POR MADUREZ),COLEGIO MESOAMERICANO,6A CALLE A 10-38 COLONIA QUINTA SAMAYOA,6A CALLE A 10-38 COLONIA QUINTA SAMAYOA,24718515,24718515,100.0,100.0,True,ESTABLECIMIENTO,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2743,2744,00-07-9677-46,00-07-9678-46,COLEGIO PROYECTO EDUCATIVO FUTURISTA,COLEGIO PROYECTO EDUCATIVO FUTURISTA,4A. AVENIDA 1-86 COLONIA BELEN,4A. AVENIDA 1-86 COLONIA BELEN,24314989 / 24310955,24314989 / 24310955,100.0,100.0,True,NINGUNO,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2758,2759,00-09-0002-46,00-09-0004-46,COLEGIO VALVERDE NO. 3,COLEGIO VALVERDE NO. 3,AVENIDA REFORMA 7-40,"8A CALLE, 7-48",22093200,22093200,100.0,42.42,True,"DIRECCION, DIRECTOR",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2782,2783,00-09-7330-46,00-09-7372-46,INSTITUTO ANGLO-GUATEMALTECO DE RELACIONES CULTURALES,INSTITUTO ANGLO-GUATEMALTECO DE RELACIONES CULTURALES,6A. CALLE 7-64,6A. CALLE 7-64,23393249,23393249,100.0,100.0,True,SUPERVISOR,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2794,2795,00-09-9582-46,00-09-9583-46,INSTITUTO PRIVADO MIXTO OCUPACIONAL-EXPERIMENTAL CAMPERO,INSTITUTO PRIVADO MIXTO OCUPACIONAL-EXPERIMENTAL 'CAMPERO',7A. AVENIDA 10-35,7A. AVENIDA 10-35,24230660,24230660,98.25,100.0,True,ESTABLECIMIENTO,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2849,3163,00-10-9130-46,00-14-9687-46,COLEGIO EVANGELICO HOSANNA,COLEGIO EVANGELICO HOSANNA,"17 CALLE 22-79, COLONIA ALCAZAR",4A. CALLE 23-22,23681038,23681038,100.0,52.63,True,"DISTRITO, DIRECCION, SUPERVISOR",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2856,2930,00-11-0011-46,00-11-9843-46,LICEO TECNICO VOCACIONAL GALILEI,LICEO TECNICO VOCACIONAL GALILEI,15 AVENIDA 12-93,15 AVENIDA 12-93,24717973,24717973,100.0,100.0,True,"DISTRITO, SUPERVISOR, DIRECTOR",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2860,2864,00-11-0019-46,00-11-0036-46,COLEGIO PANAMERICANO NO. 6,COLEGIO PANAMERICANO NO. 6,"35 AVENIDA 0-45, PLAZA HELVETIA","35 AVENIDA 0-45, PLAZA HELVETIA",24964444,24964444,100.0,100.0,True,"DISTRITO, SUPERVISOR",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2872,2873,00-11-0071-46,00-11-0076-46,COLEGIO PANAMERICANO NO. 6,COLEGIO PANAMERICANO NO. 6,"35A. AVENIDA 0-45, PLAZA HELVETIA","35A. AVENIDA 0-45, PLAZA HELVETIA",45655822,56874884,100.0,100.0,False,"DISTRITO, TELEFONO, SUPERVISOR",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2946,2950,00-12-0048-46,00-12-0055-46,LICEO CANADIENSE SOCIEDAD ANONIMA,LICEO CANADIENSE SOCIEDAD ANONIMA,"DIAGONAL 19, AVENIDA PETAPA, 40-54","DIAGONAL 19, AVENIDA PETAPA, 40-54",55154365,23750070,100.0,100.0,False,"DISTRITO, TELEFONO, SUPERVISOR, DIRECTOR",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2947,2951,00-12-0049-46,00-12-0056-46,LICEO CANADIENSE SOCIEDAD ANONIMA,LICEO CANADIENSE SOCIEDAD ANONIMA,"DIAGONAL 19, AVENIDA PETAPA, 40-54","DIAGONAL 19, AVENIDA PETAPA, 40-54",55154365,23750070,100.0,100.0,False,"DISTRITO, TELEFONO, SUPERVISOR, DIRECTOR",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2948,2949,00-12-0051-46,00-12-0052-46,LICEO CANADIENSE SOCIEDAD ANONIMA,LICEO CANADIENSE SOCIEDAD ANONIMA,"DIAGONAL 19, AVENIDA PETAPA, 40-54","DIAGONAL 19, AVENIDA PETAPA, 40-54",23750070,55154365,100.0,100.0,False,TELEFONO,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2967,2976,00-12-0104-46,00-12-0120-46,DIRECCIÓN DEPARTAMENTAL DE EDUCACIÓN GUATEMALA SUR,COLEGIO CLAUSURADO DIRECCIÓN DEPARTAMENTAL DE EDUCACIÓN GUATEMALA SUR,"AVENIDA PETAPA 47-79, PLAZA GRECIA, SEGUNDO NIVEL","AVENIDA PETAPA 47-79, ZONA 12, PLAZA GRECIA 02/01/1997",24628700,24628700,100.0,82.5,True,"ESTABLECIMIENTO, DIRECCION, DIRECTOR",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
2975,3005,00-12-0119-46,00-12-0173-46,"PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA, PRONEA","PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA, PRONEA, SEDE 2","AVENIDA PETAPA 47-79, ZONA 12, PLAZA GRECIA",AVENIDA PETAPA 47-79 ZONA 12 CENTRO COMERCIAL PLAZA GRECIA,24628700,24628723,100.0,100.0,False,"DISTRITO, ESTABLECIMIENTO, DIRECCION, TELEFONO, SUPERVISOR, DIRECTOR",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
3003,3004,00-12-0170-46,00-12-0171-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,6A. CALLE 3-47 ZONA 12 CIUDAD REAL II,6A. CALLE 3-47 ZONA 12 CIUDAD REAL II,24794259,24794259,100.0,100.0,True,NINGUNO,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
3018,3020,00-12-3002-46,00-12-3130-46,COLEGIO PROFESIONAL EN COMPUTACION S.A.,COLEGIO PROFESIONAL EN COMPUTACION S. A.,10 AV. 10-33 ZONA 12,10A. AV. 10-33 ZONA 12,,,96.0,97.44,False,"ESTABLECIMIENTO, DIRECCION",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
3050,3051,00-12-8824-46,00-12-8825-46,LICEO CANADIENSE SUR,LICEO CANADIENSE SUR,CALZADA AGUILAR BATRES 30-67,CALZADA AGUILAR BATRES 30-67,23750065,23750057,100.0,100.0,False,"DISTRITO, TELEFONO, SUPERVISOR, DIRECTOR",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
3061,3062,00-12-9100-46,00-12-9101-46,LICEO MIXTO EVANGELICO DE ORDEN DIVINO,LICEO MIXTO EVANGELICO DE ORDEN DIVINO,3A. AV. 25-18 COLONIA VILLA LOBOS I,3A. AV. 25-18 COLONIA VILLA LOBOS I,55260917,55260917,100.0,100.0,True,NINGUNO,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
3079,3080,00-12-9762-46,00-12-9763-46,COLEGIO PANAMERICANO NO. 3,COLEGIO PANAMERICANO NO. 3,45 CALLE 19-05 ZONA 12 GUATEMALA,45 CALLE 19-05 ZONA 12 GUATEMALA,24420778,24762707,100.0,100.0,False,TELEFONO,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
3087,3088,00-13-0024-46,00-13-0025-46,INSTITUTO DE BACHILLERATO EN COMPUTACION,INSTITUTO DE BACHILLERATO EN COMPUTACION,6A AVENIDA 0-20,6A AVENIDA 0-20,24720004,24720004,100.0,100.0,True,DIRECTOR,CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
3099,3137,00-13-0066-46,00-13-9463-46,"ESCUELA TECNICA MILITAR DE AVIACION, PROGRAMA EDUCATIVO INTEGRADO DEL SOLDADO -PEISOL-, DE LA FUERZA AEREA GUATEMALTECA","ESCUELA TECNICA MILITAR DE AVIACION, PROGRAMA EDUCATIVO INTEGRADO DEL SOLDADO PEISOL, DE LA FUERZA AEREA GUATEMALTECA",AVENIDA HINCAPIE 21-14,AVENIDA HINCAPIE 21-14,56928291,23615335,99.12,100.0,False,"DISTRITO, ESTABLECIMIENTO, TELEFONO, SUPERVISOR",CONSERVAR,"Los códigos MINEDUC son distintos y funcionan como identificadores oficiales; se conservan como unidades registrales separadas. La similitud quedó revisada, pero no justifica una fusión sin confirmación expresa de la fuente."
